Artist,Track,Track_ID
Bryson Tiller,Don't,3pXF1nA74528Edde4of9CC
The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81
G-Eazy x Bebe Rexha,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC
Justin Bieber,I'll Show You,0SNIAtRCPVVLoGEPcuHSIc
The Chainsmokers,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK
Jennifer Lopez,Ain't Your Mama,2hgzdQdnfWwtdpZbhZlV72
Grace,You Don't Own Me,6KI1ZpZWYAJLvmVhCJz65G
Beyonce,Don't Hurt Yourself,2NbffhNltorifsuY5doB1l
Kent Jones,Don't Mind,27PmvZoffODNFW2p7ehZTQ
Justin Timberlake,Can't Stop The Feeling!,1WkMMavIMc4JZ8cfMmxHkI
Nicky Jam,With You Tonight / Hasta El Amanecer,2GICtNjlmq5w1XIQ9s0D9y
Mike WiLL Made-It x Rihanna,Nothing Is Promised,4MdQkwmoI9lrUfHGD7wOzy
D.R.A.M.,Broccoli,0qy5D3OJre7SPJNMOL9I71
Kane Brown,Ain't No Stopping Us Now,2I5ao7JannZZMlweLTz0hO
Jennifer Lopez,Love Make The World Go Round,not found
Enrique Iglesias Feat. Wisin or Tinashe,Duele El Corazon,6YZdkObH88npeKrrkb8Ggf
Young Thug And Travis Scott,Pick Up The Phone,20dP2DaMHIAmwWAbp7peSr
Tucker Beathard,Rock On,2G8wgWPWuwyVbSKKzdwQ7e
Solange,Don't Touch My Hair,2TyCAfhwu5tRqFW8VnGMIL
Maroon 5,Don't Wanna Know,1nueTG77MzNkJTKQ0ZdGzT
Zara Larsson,Ain't My Fault,0ADG9OgdVTL7fgREP75BrZ
Machine Gun Kelly x Camila Cabello,Bad Things,1PSBzsahR2AKwLJgx8ehBj
A Boogie Wit da Hoodie,My Sh*t,5uQOauh47VFt3B2kV9kRXw
Auli'i Cravalho,How Far I'll Go,6mb6lVLNrcUgLnEN8QnDJd
Dwayne Johnson,You're Welcome,6U4VqEHy4n5VeiH4pQPL24
Nicki Minaj X Mike WiLL Made-It,Black Barbies,3y9cCbnBn0zjkJa2YkOj70
Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),55n9yjI6qqXh5F2mYvUc2y
Wham!,Careless Whisper,not found
2 Chainz x Gucci Mane x Quavo,Good Drank,39pS70eeDvyCAF3t8NAlVV
Missy Elliott,I'm Better,2Kf9fwIOwZwd6Aw7OxfkF0
Kygo x Selena Gomez,It Ain't Me,677RjvAT2lpYjo1Whczjzx
Drake,Can't Have Everything,5f5r2N4Lp9WoULWPH9zp2W
Kendrick Lamar,The Heart Part 4,not found
Rag'n'Bone Man,Human,58zsLZPvfflaiIbNWoA22O
DJ Khaled,I'm The One,1jYiIOC5d6soxkJP81fxq2
Bryson Tiller,Don't Get Too High,0OVhQZkNe7lh0fQeH96EFW
Martin Garrix x Troye Sivan,There For You,6jA8HL9i4QGzsj6fjoxp8Y
DJ Khaled,Don't Quit,6LOCAhFzZiavHcLJucLuDy
Cardi B,Bodak Yellow (Money Moves),6KBYefIoo7KydImq1uUQlL
Jake Paul,Jerika,3EMS8XDdhxXzwK3sN0DfsT
Descendants 2 Cast,It's Goin' Down,56V4lnkkgjEGkl7rS0R6Jk
XXXTENTACION,F**k Love,7AQim7LbvFVZJE3O8TYgf2
Blake Shelton,I'll Name The Dogs,609qKv3KPAbdtp0LQH2buA
"Quavo, Takeoff",Too Hotty,not found
Selena Gomez X Marshmello,Wolves,0tBbt8CrmxbjRP0pueQkyU
21 Savage,My Choppa Hate N****s,2D2w9943rsnJOGCrI4aMQp
Natti Natasha x Ozuna,Criminal,6Za3190Sbw39BBC77WSS1C
Ozuna x Cardi B,La Modelo,2SbzdGpOKlH3HIAGTWTbwU
Quavo,Ice Tray,3wdfLVUhmX64lIyWIIEW8s
Maluma X Nego do Borel,Corazon,5cepAtqnEQ6yVG6088zMMu
Jacquees X Dej Loaf,At The Club,0NqZ65jPelNB13gzsvH2Ma
Lin-Manuel Miranda,Found / Tonight,0ileL1L3Vtpf5VZ5RQZ94m
Shawn Mendes X Zedd,Lost In Japan,575NJxNUVDqwJGdzBrlLbv
Ella Mai,Boo'd Up,0At2qAoaVjIwWNAqrscXli
Swae Lee,Guatemala,0TCnOEVeLQMXOUrpPlM7uY
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna",Te Bote,42FWqCxAw5aG1FvjyVjIlH
Pitbull x El Chombo x Karol G,Dame Tu Cosita,2T7UAAVTIIuMZPOQLXTq1l
Backstreet Boys,Don't Go Breaking My Heart,79Mjfhh393dZdAsTvUFDR6
Drake,I'm Upset,3qN5qMTKyEEmiTZD38BNTT
Kanye West,Wouldn't Leave,1nGoy0cEj0extAwXYNYTWd
Luke Combs,Must've Never Met You,6ojicjDYUUoeE1tdSvfFo4
Becky G + Natti Natasha,Sin Pijama,2ijef6ni2amuunRoKTlgww
"2 Chainz, Drake",Bigger > You,5S1IUPueD0xE0vj4zU3nSf
Iggy Azalea Feauring Tyga,Kream,5mu1uv8RmzDkF8foePK5qa
Bebe Rexha,I'm A Mess,04ZTP5KsCypmtCmQg5tH9R
Travis Scott,Can't Say,27a1mYSG5tYg7dmEjWBcmL
H.E.R.,Could've Been,6oEVnWKgPqIEPc53OYDNqG
Nicki Minaj,Ganja Burns,3LHYmz86DxGInsRp3wiiW5
"Labrinth, Sia",Thunderclouds,4lJNen4SMTIJMahALc3DcB
Ozuna x Manuel Turizo,Vaina Loca,48zFZh27QU5qsrBjn4C2FA
Silk City x Dua Lipa,Electricity,5N4erncE7kuUccm7zEmwzk
Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,0QIjsbm2fh1cJ45XO9eGqq
Lil Wayne,Don't Cry,5BQrp63SHCVf4bzCzJePne
Lil Wayne,Can't Be Broken,5cGpjfgAvidLy6znwkCxkP
Lil Wayne,Dope N****z,2AwyHlbA6f641SEkizD5JG
Lady Gaga,I'll Never Love Again,2fbJ5Msx8KoDKpyufH5YsU
Metro Boomin,Don't Come Out The House,4m7wjaJF9SdnoZpZVrD113
Ellie Goulding X Diplo,Close To Me,2GjMaJ7DacMIkgoe8oMXGg
21 Savage,Can't Leave Without It,0hPLZrnDgtKxrym1BHjDhd
Alec Benjamin + Alessia Cara,Let Me Down Slowly,1roCmBlcpV7LzsmB7pmCyt
Lauv,I'm So Tired...,4vjpLMyL3ZO6aphdYr8XYw
Summer Walker X Drake,Girls Need Love,14SaZBTjxlorHJQxXh01Hu
Gunna,Same Yung N***a,1q9jq5X5vwmewjOa2mHtQ1
Pedro Capo X Farruko,Calma,5iwz1NiezX7WWjnCgY5TH4
Lil Peep,I've Been Waiting,37cWwYH0Xg3fwOXSVgTEYL
Mabel,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8
Khalid x SAFE,Don't Pretend,1E6DEDWDKHoOW0fcFuDghV
Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,Baila Baila Baila,7mWFF4gPADjTQjC97CgFVt
ScHoolboy Q + Travis Scott,CHopstix,2EGtBS7Ws3ajiSkJLviFJ4
YG,Stop Snitching,0oGzW3yT7oKAAFWcZ0DeMC
Nicky Jam X Ozuna,Te Robare,4PJ3umtW1aWdfh5EITHc6T
Lil Tecca,Ran$om,1lOe9qE0vR9zwWQAOk6CoO
Kygo X Whitney Houston,Higher Love,6oJ6le65B3SEqPwMRNXWjY
Chris Brown,Don't Check On Me,7ILEWkpfdK6AjH2D7jppWk
"Mustard featuring NAV, Playboi Carti",Baguettes In The Face,2zjGJ0dChMR0KxBZS15aqo
"Beyonce, SAINt JHN",Brown Skin Girl,0B3FovCVaGKS5w1FTidEUP
Drake,How About Now,4n4BflhWjCHIxrI4v7Xt9s
Swae Lee,Won't Be Late,2sqsNXfN0HtgDEgaHXiUTa
Post Malone,I'm Gonna Be,1ckLp8lCl8LipXI0ypX72m
YNW Melly,223's,4sjiIpEv617LDXaidKioOI
Lil Mosey x Gunna,Stuck In A Dream,7iHHxY2NLlJRAmlAmC4ahQ
Summer Walker,I'll Kill You,7EkiMl81fUHVwpItgtzI4r
"Layton Greene, Lil Baby, City Girls",Leave Em Alone,1bIEvOOqf2V3QBrFiClE3Y
Moneybagg Yo X Megan Thee Stallion,All Dat,2eukAOMjUM4pxnOdIsUia9
Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf
Thurl Ravenscroft,"You're A Mean One, Mr. Grinch",6ZgigeSB0XUMqc0jjzaq6d
Garth Brooks,Dive Bar,not found
Khalid x Disclosure,Know Your Worth,0TrPqhAMoaKUFLR7iYDokf
Bad Bunny X Daddy Yankee,La Santa,69vlMrzHwATKzupwNcUPyK
SZA X Justin Timberlake,The Other Side,6cN7DMetKweuV7GZ5htak4
Bad Bunny X Anuel AA,Esta Cabron Ser Yo,4saHEjXw7O1NXJOzBkUKKG
Lil Baby,Can't Explain,3PSUg0M68bXMb8vQJIPMZO
Lil Uzi Vert,I'm Sorry,1xcOYJxDa5pObgxY1r0I9c
Kelsea Ballerini x Halsey,The Other Girl,3CS5zwqrjggxlRD0QGJAva
Arcangel x Sech,Sigues Con El,7sQKy5vlPQllr0k9IjYJv3
DaBaby,CAN'T STOP,1ImNE2D8vw3ZoFCHMfHvXq
DaBaby,SAD SHIT,6ChpgWt7s2ksM1Y3l0D9sk
YoungBoy Never Broke Again,Ain't Easy,485RHcQUM5qotAlfutUhwT
Young T,Don't Rush,3AMxuq6id3YGB57eWeheZQ
Polo G,Don't Believe The Hype,3TciLI5wo7RddPtAFhiU9V
Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c
Trevor Daniel x Selena Gomez,Past Life,4P6IttK2PRBjyr3fm0pP7t
Juice WRLD X Halsey,Life's A Mess,5wWAwzGp2OaaoIkwcz6wZs
Juice WRLD x Marshmello,Come & Go,2Y0wPrPQBrGhoLn14xRYCG
Juice WRLD,Can't Die,4PPLJAEYBSOcnzr9TZoqf9
Kane Brown With Swae Lee,Be Like That,5f1joOtoMeyppIcJGZQvqJ
J. Cole,the.climb.back,5lLNBIyjp72btcnrjBG751
DaBaby x Stunna 4 Vegas,No Dribble,1gIlID64VBhXDDnzGDdn09
Machine Gun Kelly X blackbear,My Ex's Best Friend,7kDUspsoYfLkWnZR7qwHZl
Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta,1mohfLaTJtB2RplHLQVM70
Mulatto,B*tch From da Souf,6tLWt7gkvvTSjS6OfJjiyJ
Ozuna x Karol G x Myke Towers,Caramelo,2uu2aGqA2UblCg581Q7l1g
BLACKPINK X Selena Gomez,Ice Cream,4JUPEh2DVSXFGExu4Uxevz
Calvin Harris X The Weeknd,Over Now,58AGoOGbwsQMhBbH0eFLRR
Jon Pardi,Ain't Always The Cowboy,77XoAnllT85lmR9WP0D8dS
Keith Urban Duet With P!nk,One Too Many,5NUXE8W12lWcUXgJRCjeEw
Joel Corry X MNEK,Head & Heart,6cx06DFPPHchuUAcTxznu9
NAV,Don't Need Friends,4x3mum2YGHtIBrgUKiNt4F
King Von,All These N**gas,4g27tVPyGHi38dczFoJZZy
King Von,Crazy Story 2.0,not found
Phoebe,Iris,not found
Justin Bieber,Rockin' Around The Christmas Tree,not found
Carrie Underwood,Favorite Time Of Year,not found
Juice WRLD x benny blanco,Real Shit,3uVPLtkmDu8pDkYEAVqbgS
Kid Cudi,Mr. Solo Dolo III,not found
Bing Crosby,I'll Be Home For Christmas,4lftz0V8DZhWSVtL4GrzMH
Parmalee x Blanco Brown,Just The Way,5PAvFGse5jjDH9ke8Mae7D
Black Eyed Peas X Shakira,Girl Like Me,1zLBsSVxETQOfINOLYvT5m
Lil Durk,Should've Ducked,2tKkPDbXCDZzhpJgY338dt
Dua Lipa,We're Good,1diS6nkxMQc3wwC4G1j0bh
Silk Sonic (Bruno Mars,Leave The Door Open,7MAibcTli4IisCtbHKrGMh
Lil Durk,Hellcats & Trackhawks,53tv6ZbyeAwfAUwFaxYbfO
Chris Young + Kane Brown,Famous Friends,4iXDn9pu5Q9sxv45vE8Lak
Rod Wave,Don't Forget,6aCC0TK1IJPALdwniMbok3
"J. Cole, 21 Savage",my.life,1D3z6HTiQsNmZxjl7F7eoG
J. Cole,amari,2cnKST6T9qUo2i907lm8zX
J. Cole,pride.is.the.devil,5W8jRrZ6tWrTrqnKRtIQBf
J. Cole,95.south,5R691ipUYRDYW6ehapjoj6
J. Cole,applying.pressure,1d7q712nXjG98HiwHk7HFS
J. Cole,100.mil',not found
"J. Cole, Bas",let.go.my.hand,0GAyuCo975IHGxxiLKDufB
J. Cole,punchin'.the.clock,not found
J. Cole,hunger.on.hillside,5BwQjRasNcdRPuVWKcHto2
Marshmello X Jonas Brothers,Leave Before You Love Me,4qu63nuBpdn0qHUHuObEj1
Chase Rice,Drinkin' Beer. Talkin' God. Amen.,1UYfAU2bwgjaM5rIIPQleC
MO3 X OG Bobby Billions,Outside,2AJvoUXSml9cDzQdsk1pEG